,node_ID,highway,osmid,y,x,geometry
12760,639105007,,639105007,0.2746161,32.610361,POINT (32.610361 0.2746161)
12761,639105011,,639105011,0.274062,32.6116673,POINT (32.6116673 0.274062)
12762,639105012,,639105012,0.2738866,32.6119055,POINT (32.6119055 0.2738866)
12763,6224771063,,6224771063,0.2853065,32.5324341,POINT (32.5324341 0.2853065)
12764,6192527351,,6192527351,0.2703469,32.6167687,POINT (32.6167687 0.2703469)
12765,556857339,,556857339,0.3054995,32.5757369,POINT (32.5757369 0.3054995)
12766,639105022,,639105022,0.2765181,32.6146884,POINT (32.6146884 0.2765181)
12767,639105023,,639105023,0.269085,32.6088552,POINT (32.6088552 0.269085)
12768,639105024,,639105024,0.2695286,32.6082631,POINT (32.6082631 0.2695286)
12769,639105025,,639105025,0.2691615,32.6079196,POINT (32.6079196 0.2691615)
12770,5545752578,,5545752578,0.3202385,32.6483251,POINT (32.6483251 0.3202385)
12771,2829219859,,2829219859,0.3488538,32.5938327,POINT (32.5938327 0.3488538)
12772,639105048,,639105048,0.2683549,32.6088446,POINT (32.6088446 0.2683549)
12773,2829219868,,2829219868,0.3495733,32.5923235,POINT (32.5923235 0.3495733)
12774,639105058,,639105058,0.270981,32.6011754,POINT (32.6011754 0.270981)
12775,2829219876,,2829219876,0.3497994,32.5921853,POINT (32.5921853 0.3497994)
12776,2829219882,,2829219882,0.3495175,32.5914068,POINT (32.5914068 0.3495175)
12777,2829219887,,2829219887,0.3498525,32.59142,POINT (32.59142 0.3498525)
12778,2401138738,,2401138738,0.3938321,32.6019746,POINT (32.6019746 0.3938321)
12779,639105075,,639105075,0.2757778,32.604189,POINT (32.604189 0.2757778)
12780,556857410,,556857410,0.3185482,32.5495183,POINT (32.5495183 0.3185482)
12781,3957815368,,3957815368,0.3166556,32.5760836,POINT (32.5760836 0.3166556)
12782,639105098,,639105098,0.2697501,32.6123223,POINT (32.6123223 0.2697501)
12783,639105104,,639105104,0.2686089,32.6133952,POINT (32.6133952 0.2686089)
12784,6229522513,,6229522513,0.3349511,32.6341058,POINT (32.6341058 0.3349511)
12785,639105105,,639105105,0.2676407,32.6130205,POINT (32.6130205 0.2676407)
12786,639105109,,639105109,0.2685661,32.615784,POINT (32.615784 0.2685661)
12787,6183188565,,6183188565,0.244431,32.6293872,POINT (32.6293872 0.244431)
12788,639105114,,639105114,0.2680399,32.6138113,POINT (32.6138113 0.2680399)
12789,3841751135,,3841751135,0.2810783,32.5886813,POINT (32.5886813 0.2810783)
12790,639105119,,639105119,0.2717245,32.6097444,POINT (32.6097444 0.2717245)
12791,3957815395,,3957815395,0.3167735,32.5761514,POINT (32.5761514 0.3167735)
12792,5513181288,,5513181288,0.2558317,32.6312142,POINT (32.6312142 0.2558317)
12793,5513181291,,5513181291,0.2567536,32.631568,POINT (32.631568 0.2567536)
12794,3800365166,,3800365166,0.3345052,32.5764188,POINT (32.5764188 0.3345052)
12795,6245841007,,6245841007,0.353063,32.578511,POINT (32.578511 0.353063)
12796,639105135,,639105135,0.2659072,32.6112132,POINT (32.6112132 0.2659072)
12797,639105137,,639105137,0.2666678,32.6129568,POINT (32.6129568 0.2666678)
12798,1311635571,,1311635571,0.3005721,32.6072558,POINT (32.6072558 0.3005721)
12799,3800365171,,3800365171,0.3342887,32.5755771,POINT (32.5755771 0.3342887)
12800,6245841012,,6245841012,0.3521678,32.579429,POINT (32.579429 0.3521678)
12801,639105141,,639105141,0.2661902,32.6104622,POINT (32.6104622 0.2661902)
12802,639105143,,639105143,0.2652721,32.609613,POINT (32.609613 0.2652721)
12803,6245841017,,6245841017,0.3516843,32.5789043,POINT (32.5789043 0.3516843)
12804,639105146,,639105146,0.267513,32.6097085,POINT (32.6097085 0.267513)
12805,6225590396,,6225590396,0.249859,32.6136929,POINT (32.6136929 0.249859)
12806,556857469,,556857469,0.3117181,32.5574303,POINT (32.5574303 0.3117181)
12807,5566560390,,5566560390,0.2879839,32.5432535,POINT (32.5432535 0.2879839)
12808,1311635591,,1311635591,0.3004334,32.6069327,POINT (32.6069327 0.3004334)
12809,6235879560,,6235879560,0.282536,32.5527826,POINT (32.5527826 0.282536)
12810,5566560393,,5566560393,0.2879695,32.5435323,POINT (32.5435323 0.2879695)
12811,6224279691,,6224279691,0.3795003,32.5633438,POINT (32.5633438 0.3795003)
12812,4925126796,,4925126796,0.2985034,32.5386369,POINT (32.5386369 0.2985034)
12813,6245841038,,6245841038,0.3535028,32.57086,POINT (32.57086 0.3535028)
12814,6245841039,,6245841039,0.3573742,32.5761104,POINT (32.5761104 0.3573742)
12815,6235879569,,6235879569,0.2823845,32.5577769,POINT (32.5577769 0.2823845)
12816,6235879570,,6235879570,0.2827585,32.5572791,POINT (32.5572791 0.2827585)
12817,556857491,,556857491,0.3111134,32.5586377,POINT (32.5586377 0.3111134)
12818,6235879572,,6235879572,0.280552,32.5572459,POINT (32.5572459 0.280552)
12819,6224279697,,6224279697,0.3740072,32.5692205,POINT (32.5692205 0.3740072)
12820,6224279698,,6224279698,0.3734899,32.5687947,POINT (32.5687947 0.3734899)
12821,6235879575,,6235879575,0.2811352,32.5565208,POINT (32.5565208 0.2811352)
12822,639105173,,639105173,0.2711539,32.6105352,POINT (32.6105352 0.2711539)
12823,6245841049,,6245841049,0.3584635,32.5775863,POINT (32.5775863 0.3584635)
12824,639105169,,639105169,0.2698605,32.609528,POINT (32.609528 0.2698605)
12825,6245841052,,6245841052,0.3589215,32.5805113,POINT (32.5805113 0.3589215)
12826,556857501,,556857501,0.3109694,32.5588185,POINT (32.5588185 0.3109694)
12827,6224279709,,6224279709,0.3750962,32.5659643,POINT (32.5659643 0.3750962)
12828,6235879580,,6235879580,0.2854274,32.5556311,POINT (32.5556311 0.2854274)
12829,6235879584,,6235879584,0.2852739,32.5547728,POINT (32.5547728 0.2852739)
12830,6220871841,,6220871841,0.3268777,32.5363822,POINT (32.5363822 0.3268777)
12831,2567567525,,2567567525,0.3955711,32.5783414,POINT (32.5783414 0.3955711)
12832,4929288361,,4929288361,0.2976774,32.5433024,POINT (32.5433024 0.2976774)
12833,2567567534,,2567567534,0.3900318,32.5714821,POINT (32.5714821 0.3900318)
12834,4929288367,,4929288367,0.2971742,32.5431202,POINT (32.5431202 0.2971742)
12835,5271189681,,5271189681,0.2908038,32.5958063,POINT (32.5958063 0.2908038)
12836,3843061938,,3843061938,0.2983104,32.5816503,POINT (32.5816503 0.2983104)
12837,4929288370,,4929288370,0.2971046,32.5429372,POINT (32.5429372 0.2971046)
12838,5271189688,,5271189688,0.2904434,32.5955621,POINT (32.5955621 0.2904434)
12839,556857532,,556857532,0.3124036,32.5586921,POINT (32.5586921 0.3124036)
12840,4932892863,,4932892863,0.3439374,32.581433,POINT (32.581433 0.3439374)
12841,5271189695,,5271189695,0.2894131,32.5954887,POINT (32.5954887 0.2894131)
12842,5271189696,,5271189696,0.2897082,32.5955062,POINT (32.5955062 0.2897082)
12843,5271189699,,5271189699,0.2895231,32.596284,POINT (32.596284 0.2895231)
12844,5271189700,,5271189700,0.2895168,32.5963687,POINT (32.5963687 0.2895168)
12845,4929288390,,4929288390,0.2965347,32.5427401,POINT (32.5427401 0.2965347)
12846,4932892874,,4932892874,0.3425522,32.5802196,POINT (32.5802196 0.3425522)
12847,3839850707,,3839850707,0.2935331,32.5885304,POINT (32.5885304 0.2935331)
12848,6224771289,,6224771289,0.286665,32.533845,POINT (32.533845 0.286665)
12849,3839850714,,3839850714,0.2917445,32.5884275,POINT (32.5884275 0.2917445)
12850,6227359970,,6227359970,0.2658354,32.5994747,POINT (32.5994747 0.2658354)
12851,6227359975,,6227359975,0.2645517,32.5998724,POINT (32.5998724 0.2645517)
12852,6227359979,,6227359979,0.264076,32.599327,POINT (32.599327 0.264076)
12853,6227359980,,6227359980,0.2639144,32.6002984,POINT (32.6002984 0.2639144)
12854,556857595,,556857595,0.3138298,32.5574287,POINT (32.5574287 0.3138298)
12855,3841718539,,3841718539,0.271397,32.5995152,POINT (32.5995152 0.271397)
12856,2613868812,,2613868812,0.2707107,32.6111598,POINT (32.6111598 0.2707107)
12857,3892181265,,3892181265,0.396216,32.5694489,POINT (32.5694489 0.396216)
12858,3892181267,,3892181267,0.3986948,32.5721019,POINT (32.5721019 0.3986948)
12859,556857620,,556857620,0.314847,32.5579466,POINT (32.5579466 0.314847)
12860,3814521110,,3814521110,0.307174,32.5491488,POINT (32.5491488 0.307174)
12861,3814521116,,3814521116,0.3080691,32.5493893,POINT (32.5493893 0.3080691)
12862,639105315,,639105315,0.2678227,32.6139869,POINT (32.6139869 0.2678227)
