baseline,flooded,
1168.378805,1226.060354,57.68154983
2027.039069,2442.601145,415.5620751
791.8415284,868.2301583,76.3886299
1459.763149,1508.657521,48.89437176
770.4808917,834.7769756,64.29608387
1263.849496,1320.100118,56.25062178
971.5275167,1047.411259,75.88374191
3798.190056,4231.871941,433.681885
820.1702502,885.4997928,65.32954262
819.4577156,882.851235,63.39351945
3666.048882,4099.802308,433.7534258
1174.008198,1231.814567,57.80636899
1077.78311,1141.204567,63.42145767
776.9844247,930.2361073,153.2516826
966.3391309,1123.43082,157.0916886
881.9811133,964.30144,82.32032667
3206.855816,3641.116235,434.2604194
999.2185703,1060.389013,61.17044271
767.4017498,885.9994628,118.597713
821.3585033,907.2263578,85.86785449
822.1813432,1063.941252,241.7599089
940.9856326,1000.527322,59.54168959
912.2138285,1077.152622,164.9387933
1975.674474,2046.964496,71.29002197
1378.977309,1441.23768,62.26037113
1362.839781,1918.61955,555.7797687
910.2344311,0,-910.2344311
1095.771628,1185.96966,90.19803186
985.4631285,1031.862598,46.39946921
924.8426867,1124.321139,199.4784522
903.1355267,984.8585381,81.72301142
1354.510336,1544.241725,189.7313885
986.5446618,1048.556251,62.01158969
910.8604608,1006.267154,95.40669344
3858.362422,4292.032682,433.6702601
982.8813151,1044.672386,61.79107044
1615.944343,1672.150794,56.20645025
1077.441053,1175.964307,98.52325391
994.0893281,1056.199515,62.11018682
1128.696798,1187.090578,58.39378066
3524.172483,3957.998001,433.8255182
1005.340781,1070.508532,65.16775129
883.1240349,984.148031,101.0239962
1256.163286,1329.665425,73.50213916
1073.363835,1189.988661,116.6248259
810.7755877,894.9345637,84.158976
1028.257785,1088.614722,60.35693732
1245.619001,1295.39484,49.77583926
1018.43701,1078.795625,60.3586156
785.3291316,898.7577059,113.4285743
1434.251672,1485.203091,50.95141818
1237.167807,1286.988418,49.82061039
1056.257786,1094.219124,37.96133877
1380.497655,1462.01491,81.51725475
990.8073914,1028.720361,37.91296942
825.1772066,901.2547671,76.07756051
931.8684996,1095.221491,163.3529911
926.5730596,994.1523057,67.5792461
1734.005177,1805.800323,71.79514664
866.6099558,943.5458337,76.93587793
