,node_ID,y,highway,osmid,x,flood_depth,geometry
3266,3985519829,0.4015929,,3985519829,32.6354273,-32767.0,POINT (32.6354273 0.4015929)
3267,5518977308,0.2767287,,5518977308,32.5283008,-32767.0,POINT (32.5283008 0.2767287)
3268,1806447827,0.0650231,,1806447827,32.45923,0.0,POINT (32.45923 0.0650231)
3269,1806447832,0.0559716,,1806447832,32.4625211,0.0,POINT (32.4625211 0.0559716)
3270,639120602,0.2699004,,639120602,32.5999783,-32767.0,POINT (32.5999783 0.2699004)
3271,1806447834,0.0608272,,1806447834,32.4533772,0.0,POINT (32.4533772 0.0608272)
3272,6180189405,0.3744632,,6180189405,32.5994128,-32767.0,POINT (32.5994128 0.3744632)
3273,560477406,0.3480784,,560477406,32.6149436,-32767.0,POINT (32.6149436 0.3480784)
3274,6180189409,0.3754041,,6180189409,32.599229,-32767.0,POINT (32.599229 0.3754041)
3275,560477411,0.3464859,,560477411,32.6173818,-32767.0,POINT (32.6173818 0.3464859)
3276,1806447844,0.0705295,,1806447844,32.4538355,0.0,POINT (32.4538355 0.07052949999999999)
3277,560477421,0.3483574,,560477421,32.615679,-32767.0,POINT (32.615679 0.3483574)
3278,6194869486,0.329301,,6194869486,32.4838243,0.0,POINT (32.4838243 0.329301)
3279,1806447856,0.0690867,,1806447856,32.4596997,0.0,POINT (32.4596997 0.0690867)
3280,560477427,0.3486871,,560477427,32.6164589,-32767.0,POINT (32.6164589 0.3486871)
3281,560477428,0.3511362,,560477428,32.6139482,-32767.0,POINT (32.6139482 0.3511362)
3282,6194869495,0.330905,,6194869495,32.4835038,0.0,POINT (32.4835038 0.330905)
3283,560477435,0.3514213,,560477435,32.615502,-32767.0,POINT (32.615502 0.3514213)
3284,6194869500,0.3322108,,6194869500,32.4831575,0.0,POINT (32.4831575 0.3322108)
3285,6194869501,0.3195018,,6194869501,32.4881587,0.0,POINT (32.4881587 0.3195018)
3286,6194869504,0.3195916,,6194869504,32.4874547,0.0,POINT (32.4874547 0.3195916)
3287,1806447872,0.0658717,,1806447872,32.4558869,0.0,POINT (32.4558869 0.06587170000000001)
3288,6194869509,0.3195017,,6194869509,32.4865669,0.0,POINT (32.4865669 0.3195017)
3289,560477446,0.3512467,,560477446,32.6146788,-32767.0,POINT (32.6146788 0.3512467)
3290,3877516552,0.4055615,,3877516552,32.5727731,-32767.0,POINT (32.5727731 0.4055615)
3291,1806447881,0.0543793,,1806447881,32.4577025,0.0,POINT (32.4577025 0.0543793)
3292,6194869516,0.3199215,,6194869516,32.4852821,0.0,POINT (32.4852821 0.3199215)
3293,1806447890,0.0678009,,1806447890,32.4502444,0.0,POINT (32.4502444 0.0678009)
3294,1806447892,0.0560845,,1806447892,32.4588462,0.0,POINT (32.4588462 0.0560845)
3295,1806447893,0.0685307,,1806447893,32.4531464,0.0,POINT (32.4531464 0.0685307)
3296,1806447894,0.0609966,,1806447894,32.4572372,0.0,POINT (32.4572372 0.0609966)
3297,6192379163,0.3854037,,6192379163,32.4488577,0.0,POINT (32.4488577 0.3854037)
3298,6192379164,0.3850262,,6192379164,32.4501968,0.0,POINT (32.4501968 0.3850262)
3299,6194869534,0.3208375,,6194869534,32.4808471,0.0,POINT (32.4808471 0.3208375)
3300,6192379167,0.3849169,,6192379167,32.4502712,0.0,POINT (32.4502712 0.3849169)
3301,1735537957,0.2863814,,1735537957,32.5787268,-32767.0,POINT (32.5787268 0.2863814)
3302,6194869542,0.3205411,,6194869542,32.4799164,0.0,POINT (32.4799164 0.3205411)
3303,6194869543,0.3196131,,6194869543,32.4802154,0.0,POINT (32.4802154 0.3196131)
3304,6192379173,0.3844153,,6192379173,32.4388048,0.0,POINT (32.4388048 0.3844153)
3305,1806447911,0.1677285,,1806447911,32.5583873,0.0,POINT (32.5583873 0.1677285)
3306,6192379178,0.3835215,,6192379178,32.4405389,0.0,POINT (32.4405389 0.3835215)
3307,6192379179,0.3791191,,6192379179,32.4430604,0.0,POINT (32.4430604 0.3791191)
3308,1806447915,0.057211,,1806447915,32.4608787,0.0,POINT (32.4608787 0.057211)
3309,1806447913,0.0620396,,1806447913,32.4559303,0.0,POINT (32.4559303 0.0620396)
3310,560477486,0.3434484,,560477486,32.6196589,-32767.0,POINT (32.6196589 0.3434484)
3311,1806447918,0.0576514,,1806447918,32.4616828,0.0,POINT (32.4616828 0.0576514)
3312,6194869552,0.3204781,,6194869552,32.4802342,0.0,POINT (32.4802342 0.3204781)
3313,1806447914,0.0602429,,1806447914,32.4558661,0.0,POINT (32.4558661 0.0602429)
3314,1806447927,0.0607786,,1806447927,32.4602974,0.0,POINT (32.4602974 0.0607786)
3315,4874974523,0.1613239,,4874974523,32.5068309,0.0,POINT (32.5068309 0.1613239)
3316,1806447933,0.0700878,,1806447933,32.4572392,0.0,POINT (32.4572392 0.07008780000000001)
3317,6194869568,0.3220861,,6194869568,32.4804194,0.0,POINT (32.4804194 0.3220861)
3318,6194869570,0.3226743,,6194869570,32.48149,0.0,POINT (32.48149 0.3226743)
3319,1806447941,0.070337,,1806447941,32.4596264,0.0,POINT (32.4596264 0.070337)
3320,1806447942,0.0566773,,1806447942,32.461102,0.0,POINT (32.461102 0.0566773)
3321,1702638922,0.335318,,1702638922,32.57272,-32767.0,POINT (32.57272 0.335318)
3322,1387672908,0.2808759,,1387672908,32.6142678,0.539306640625,POINT (32.6142678 0.2808759)
3323,1387672910,0.2822926,,1387672910,32.6140936,0.121337890625,POINT (32.6140936 0.2822926)
3324,1806447953,0.0681088,,1806447953,32.4560691,0.0,POINT (32.4560691 0.0681088)
3325,5801784659,0.3439966,,5801784659,32.6598738,-32767.0,POINT (32.6598738 0.3439966)
3326,1387672917,0.2809007,,1387672917,32.6133787,0.11083984375,POINT (32.6133787 0.2809007)
3327,1387672919,0.282017,,1387672919,32.6140829,-32767.0,POINT (32.6140829 0.282017)
3328,1387672920,0.2816699,,1387672920,32.6152714,0.28466796875,POINT (32.6152714 0.2816699)
3329,4874974555,0.1653972,,4874974555,32.5112399,0.0,POINT (32.5112399 0.1653972)
3330,1806447965,0.0652172,,1806447965,32.4603271,0.0,POINT (32.4603271 0.0652172)
3331,1387672927,0.2844901,,1387672927,32.6145244,-32767.0,POINT (32.6145244 0.2844901)
3332,1806447968,0.063163,,1806447968,32.460899,0.0,POINT (32.460899 0.063163)
3333,1387672929,0.2810358,,1387672929,32.6156989,0.289306640625,POINT (32.6156989 0.2810358)
