,FID,geometry
39,39,"POLYGON ((106.7727315764207 47.99596705742379, 106.7772231528412 47.99596705742379, 106.7772231528412 47.98928132177972, 106.7727315764207 47.98928132177972, 106.7727315764207 47.99596705742379))"
40,40,"POLYGON ((106.7727315764207 47.98928132177972, 106.7772231528412 47.98928132177972, 106.7772231528412 47.98259558613565, 106.7727315764207 47.98259558613565, 106.7727315764207 47.98928132177972))"
41,41,"POLYGON ((106.7727315764207 47.98259558613565, 106.7772231528412 47.98259558613565, 106.7772231528412 47.97590985049158, 106.7727315764207 47.97590985049158, 106.7727315764207 47.98259558613565))"
42,42,"POLYGON ((106.7727315764207 47.97590985049158, 106.7772231528412 47.97590985049158, 106.7772231528412 47.96922411484751, 106.7727315764207 47.96922411484751, 106.7727315764207 47.97590985049158))"
43,43,"POLYGON ((106.7727315764207 47.96922411484751, 106.7772231528412 47.96922411484751, 106.7772231528412 47.96253837920344, 106.7727315764207 47.96253837920344, 106.7727315764207 47.96922411484751))"
44,44,"POLYGON ((106.7727315764207 47.96253837920344, 106.7772231528412 47.96253837920344, 106.7772231528412 47.95585264355937, 106.7727315764207 47.95585264355937, 106.7727315764207 47.96253837920344))"
45,45,"POLYGON ((106.7727315764207 47.95585264355937, 106.7772231528412 47.95585264355937, 106.7772231528412 47.94916690791531, 106.7727315764207 47.94916690791531, 106.7727315764207 47.95585264355937))"
46,46,"POLYGON ((106.7727315764207 47.94916690791531, 106.7772231528412 47.94916690791531, 106.7772231528412 47.94248117227124, 106.7727315764207 47.94248117227124, 106.7727315764207 47.94916690791531))"
47,47,"POLYGON ((106.7727315764207 47.94248117227124, 106.7772231528412 47.94248117227124, 106.7772231528412 47.93579543662717, 106.7727315764207 47.93579543662717, 106.7727315764207 47.94248117227124))"
48,48,"POLYGON ((106.7727315764207 47.93579543662717, 106.7772231528412 47.93579543662717, 106.7772231528412 47.9291097009831, 106.7727315764207 47.9291097009831, 106.7727315764207 47.93579543662717))"
49,49,"POLYGON ((106.7727315764207 47.9291097009831, 106.7772231528412 47.9291097009831, 106.7772231528412 47.92242396533903, 106.7727315764207 47.92242396533903, 106.7727315764207 47.9291097009831))"
50,50,"POLYGON ((106.7727315764207 47.92242396533903, 106.7772231528412 47.92242396533903, 106.7772231528412 47.91573822969496, 106.7727315764207 47.91573822969496, 106.7727315764207 47.92242396533903))"
51,51,"POLYGON ((106.7727315764207 47.91573822969496, 106.7772231528412 47.91573822969496, 106.7772231528412 47.90905249405089, 106.7727315764207 47.90905249405089, 106.7727315764207 47.91573822969496))"
52,52,"POLYGON ((106.7727315764207 47.90905249405089, 106.7772231528412 47.90905249405089, 106.7772231528412 47.90236675840682, 106.7727315764207 47.90236675840682, 106.7727315764207 47.90905249405089))"
53,53,"POLYGON ((106.7727315764207 47.90236675840682, 106.7772231528412 47.90236675840682, 106.7772231528412 47.89568102276275, 106.7727315764207 47.89568102276275, 106.7727315764207 47.90236675840682))"
54,54,"POLYGON ((106.7727315764207 47.89568102276275, 106.7772231528412 47.89568102276275, 106.7772231528412 47.88899528711868, 106.7727315764207 47.88899528711868, 106.7727315764207 47.89568102276275))"
55,55,"POLYGON ((106.7727315764207 47.88899528711868, 106.7772231528412 47.88899528711868, 106.7772231528412 47.88230955147461, 106.7727315764207 47.88230955147461, 106.7727315764207 47.88899528711868))"
56,56,"POLYGON ((106.7727315764207 47.88230955147461, 106.7772231528412 47.88230955147461, 106.7772231528412 47.87562381583054, 106.7727315764207 47.87562381583054, 106.7727315764207 47.88230955147461))"
57,57,"POLYGON ((106.7727315764207 47.87562381583054, 106.7772231528412 47.87562381583054, 106.7772231528412 47.86893808018647, 106.7727315764207 47.86893808018647, 106.7727315764207 47.87562381583054))"
58,58,"POLYGON ((106.7727315764207 47.86893808018647, 106.7772231528412 47.86893808018647, 106.7772231528412 47.86225234454241, 106.7727315764207 47.86225234454241, 106.7727315764207 47.86893808018647))"
59,59,"POLYGON ((106.7727315764207 47.86225234454241, 106.7772231528412 47.86225234454241, 106.7772231528412 47.85556660889834, 106.7727315764207 47.85556660889834, 106.7727315764207 47.86225234454241))"
60,60,"POLYGON ((106.7727315764207 47.85556660889834, 106.7772231528412 47.85556660889834, 106.7772231528412 47.84888087325427, 106.7727315764207 47.84888087325427, 106.7727315764207 47.85556660889834))"
61,61,"POLYGON ((106.7727315764207 47.84888087325427, 106.7772231528412 47.84888087325427, 106.7772231528412 47.8421951376102, 106.7727315764207 47.8421951376102, 106.7727315764207 47.84888087325427))"
62,62,"POLYGON ((106.7727315764207 47.8421951376102, 106.7772231528412 47.8421951376102, 106.7772231528412 47.83550940196613, 106.7727315764207 47.83550940196613, 106.7727315764207 47.8421951376102))"
63,63,"POLYGON ((106.7727315764207 47.83550940196613, 106.7772231528412 47.83550940196613, 106.7772231528412 47.82882366632206, 106.7727315764207 47.82882366632206, 106.7727315764207 47.83550940196613))"
64,64,"POLYGON ((106.7727315764207 47.82882366632206, 106.7772231528412 47.82882366632206, 106.7772231528412 47.82213793067799, 106.7727315764207 47.82213793067799, 106.7727315764207 47.82882366632206))"
65,65,"POLYGON ((106.7727315764207 47.82213793067799, 106.7772231528412 47.82213793067799, 106.7772231528412 47.81545219503392, 106.7727315764207 47.81545219503392, 106.7727315764207 47.82213793067799))"
66,66,"POLYGON ((106.7727315764207 47.81545219503392, 106.7772231528412 47.81545219503392, 106.7772231528412 47.80876645938985, 106.7727315764207 47.80876645938985, 106.7727315764207 47.81545219503392))"
67,67,"POLYGON ((106.7727315764207 47.80876645938985, 106.7772231528412 47.80876645938985, 106.7772231528412 47.80208072374578, 106.7727315764207 47.80208072374578, 106.7727315764207 47.80876645938985))"
68,68,"POLYGON ((106.7727315764207 47.80208072374578, 106.7772231528412 47.80208072374578, 106.7772231528412 47.79539498810171, 106.7727315764207 47.79539498810171, 106.7727315764207 47.80208072374578))"
69,69,"POLYGON ((106.7727315764207 47.79539498810171, 106.7772231528412 47.79539498810171, 106.7772231528412 47.78870925245764, 106.7727315764207 47.78870925245764, 106.7727315764207 47.79539498810171))"
70,70,"POLYGON ((106.7772231528412 48.02271000000007, 106.7817147292618 48.02271000000007, 106.7817147292618 48.016024264356, 106.7772231528412 48.016024264356, 106.7772231528412 48.02271000000007))"
71,71,"POLYGON ((106.7772231528412 48.016024264356, 106.7817147292618 48.016024264356, 106.7817147292618 48.00933852871193, 106.7772231528412 48.00933852871193, 106.7772231528412 48.016024264356))"
72,72,"POLYGON ((106.7772231528412 48.00933852871193, 106.7817147292618 48.00933852871193, 106.7817147292618 48.00265279306786, 106.7772231528412 48.00265279306786, 106.7772231528412 48.00933852871193))"
73,73,"POLYGON ((106.7772231528412 48.00265279306786, 106.7817147292618 48.00265279306786, 106.7817147292618 47.99596705742379, 106.7772231528412 47.99596705742379, 106.7772231528412 48.00265279306786))"
74,74,"POLYGON ((106.7772231528412 47.99596705742379, 106.7817147292618 47.99596705742379, 106.7817147292618 47.98928132177972, 106.7772231528412 47.98928132177972, 106.7772231528412 47.99596705742379))"
75,75,"POLYGON ((106.7772231528412 47.98928132177972, 106.7817147292618 47.98928132177972, 106.7817147292618 47.98259558613565, 106.7772231528412 47.98259558613565, 106.7772231528412 47.98928132177972))"
76,76,"POLYGON ((106.7772231528412 47.98259558613565, 106.7817147292618 47.98259558613565, 106.7817147292618 47.97590985049158, 106.7772231528412 47.97590985049158, 106.7772231528412 47.98259558613565))"
77,77,"POLYGON ((106.7772231528412 47.97590985049158, 106.7817147292618 47.97590985049158, 106.7817147292618 47.96922411484751, 106.7772231528412 47.96922411484751, 106.7772231528412 47.97590985049158))"
78,78,"POLYGON ((106.7772231528412 47.96922411484751, 106.7817147292618 47.96922411484751, 106.7817147292618 47.96253837920344, 106.7772231528412 47.96253837920344, 106.7772231528412 47.96922411484751))"
79,79,"POLYGON ((106.7772231528412 47.96253837920344, 106.7817147292618 47.96253837920344, 106.7817147292618 47.95585264355937, 106.7772231528412 47.95585264355937, 106.7772231528412 47.96253837920344))"
80,80,"POLYGON ((106.7772231528412 47.95585264355937, 106.7817147292618 47.95585264355937, 106.7817147292618 47.94916690791531, 106.7772231528412 47.94916690791531, 106.7772231528412 47.95585264355937))"
81,81,"POLYGON ((106.7772231528412 47.94916690791531, 106.7817147292618 47.94916690791531, 106.7817147292618 47.94248117227124, 106.7772231528412 47.94248117227124, 106.7772231528412 47.94916690791531))"
82,82,"POLYGON ((106.7772231528412 47.94248117227124, 106.7817147292618 47.94248117227124, 106.7817147292618 47.93579543662717, 106.7772231528412 47.93579543662717, 106.7772231528412 47.94248117227124))"
83,83,"POLYGON ((106.7772231528412 47.93579543662717, 106.7817147292618 47.93579543662717, 106.7817147292618 47.9291097009831, 106.7772231528412 47.9291097009831, 106.7772231528412 47.93579543662717))"
84,84,"POLYGON ((106.7772231528412 47.9291097009831, 106.7817147292618 47.9291097009831, 106.7817147292618 47.92242396533903, 106.7772231528412 47.92242396533903, 106.7772231528412 47.9291097009831))"
85,85,"POLYGON ((106.7772231528412 47.92242396533903, 106.7817147292618 47.92242396533903, 106.7817147292618 47.91573822969496, 106.7772231528412 47.91573822969496, 106.7772231528412 47.92242396533903))"
86,86,"POLYGON ((106.7772231528412 47.91573822969496, 106.7817147292618 47.91573822969496, 106.7817147292618 47.90905249405089, 106.7772231528412 47.90905249405089, 106.7772231528412 47.91573822969496))"
87,87,"POLYGON ((106.7772231528412 47.90905249405089, 106.7817147292618 47.90905249405089, 106.7817147292618 47.90236675840682, 106.7772231528412 47.90236675840682, 106.7772231528412 47.90905249405089))"
88,88,"POLYGON ((106.7772231528412 47.90236675840682, 106.7817147292618 47.90236675840682, 106.7817147292618 47.89568102276275, 106.7772231528412 47.89568102276275, 106.7772231528412 47.90236675840682))"
89,89,"POLYGON ((106.7772231528412 47.89568102276275, 106.7817147292618 47.89568102276275, 106.7817147292618 47.88899528711868, 106.7772231528412 47.88899528711868, 106.7772231528412 47.89568102276275))"
90,90,"POLYGON ((106.7772231528412 47.88899528711868, 106.7817147292618 47.88899528711868, 106.7817147292618 47.88230955147461, 106.7772231528412 47.88230955147461, 106.7772231528412 47.88899528711868))"
91,91,"POLYGON ((106.7772231528412 47.88230955147461, 106.7817147292618 47.88230955147461, 106.7817147292618 47.87562381583054, 106.7772231528412 47.87562381583054, 106.7772231528412 47.88230955147461))"
92,92,"POLYGON ((106.7772231528412 47.87562381583054, 106.7817147292618 47.87562381583054, 106.7817147292618 47.86893808018647, 106.7772231528412 47.86893808018647, 106.7772231528412 47.87562381583054))"
93,93,"POLYGON ((106.7772231528412 47.86893808018647, 106.7817147292618 47.86893808018647, 106.7817147292618 47.86225234454241, 106.7772231528412 47.86225234454241, 106.7772231528412 47.86893808018647))"
94,94,"POLYGON ((106.7772231528412 47.86225234454241, 106.7817147292618 47.86225234454241, 106.7817147292618 47.85556660889834, 106.7772231528412 47.85556660889834, 106.7772231528412 47.86225234454241))"
95,95,"POLYGON ((106.7772231528412 47.85556660889834, 106.7817147292618 47.85556660889834, 106.7817147292618 47.84888087325427, 106.7772231528412 47.84888087325427, 106.7772231528412 47.85556660889834))"
96,96,"POLYGON ((106.7772231528412 47.84888087325427, 106.7817147292618 47.84888087325427, 106.7817147292618 47.8421951376102, 106.7772231528412 47.8421951376102, 106.7772231528412 47.84888087325427))"
97,97,"POLYGON ((106.7772231528412 47.8421951376102, 106.7817147292618 47.8421951376102, 106.7817147292618 47.83550940196613, 106.7772231528412 47.83550940196613, 106.7772231528412 47.8421951376102))"
98,98,"POLYGON ((106.7772231528412 47.83550940196613, 106.7817147292618 47.83550940196613, 106.7817147292618 47.82882366632206, 106.7772231528412 47.82882366632206, 106.7772231528412 47.83550940196613))"
99,99,"POLYGON ((106.7772231528412 47.82882366632206, 106.7817147292618 47.82882366632206, 106.7817147292618 47.82213793067799, 106.7772231528412 47.82213793067799, 106.7772231528412 47.82882366632206))"
100,100,"POLYGON ((106.7772231528412 47.82213793067799, 106.7817147292618 47.82213793067799, 106.7817147292618 47.81545219503392, 106.7772231528412 47.81545219503392, 106.7772231528412 47.82213793067799))"
101,101,"POLYGON ((106.7772231528412 47.81545219503392, 106.7817147292618 47.81545219503392, 106.7817147292618 47.80876645938985, 106.7772231528412 47.80876645938985, 106.7772231528412 47.81545219503392))"
102,102,"POLYGON ((106.7772231528412 47.80876645938985, 106.7817147292618 47.80876645938985, 106.7817147292618 47.80208072374578, 106.7772231528412 47.80208072374578, 106.7772231528412 47.80876645938985))"
103,103,"POLYGON ((106.7772231528412 47.80208072374578, 106.7817147292618 47.80208072374578, 106.7817147292618 47.79539498810171, 106.7772231528412 47.79539498810171, 106.7772231528412 47.80208072374578))"
104,104,"POLYGON ((106.7772231528412 47.79539498810171, 106.7817147292618 47.79539498810171, 106.7817147292618 47.78870925245764, 106.7772231528412 47.78870925245764, 106.7772231528412 47.79539498810171))"
105,105,"POLYGON ((106.7817147292618 48.02271000000007, 106.7862063056824 48.02271000000007, 106.7862063056824 48.016024264356, 106.7817147292618 48.016024264356, 106.7817147292618 48.02271000000007))"
106,106,"POLYGON ((106.7817147292618 48.016024264356, 106.7862063056824 48.016024264356, 106.7862063056824 48.00933852871193, 106.7817147292618 48.00933852871193, 106.7817147292618 48.016024264356))"
107,107,"POLYGON ((106.7817147292618 48.00933852871193, 106.7862063056824 48.00933852871193, 106.7862063056824 48.00265279306786, 106.7817147292618 48.00265279306786, 106.7817147292618 48.00933852871193))"
108,108,"POLYGON ((106.7817147292618 48.00265279306786, 106.7862063056824 48.00265279306786, 106.7862063056824 47.99596705742379, 106.7817147292618 47.99596705742379, 106.7817147292618 48.00265279306786))"
109,109,"POLYGON ((106.7817147292618 47.99596705742379, 106.7862063056824 47.99596705742379, 106.7862063056824 47.98928132177972, 106.7817147292618 47.98928132177972, 106.7817147292618 47.99596705742379))"
110,110,"POLYGON ((106.7817147292618 47.98928132177972, 106.7862063056824 47.98928132177972, 106.7862063056824 47.98259558613565, 106.7817147292618 47.98259558613565, 106.7817147292618 47.98928132177972))"
111,111,"POLYGON ((106.7817147292618 47.98259558613565, 106.7862063056824 47.98259558613565, 106.7862063056824 47.97590985049158, 106.7817147292618 47.97590985049158, 106.7817147292618 47.98259558613565))"
112,112,"POLYGON ((106.7817147292618 47.97590985049158, 106.7862063056824 47.97590985049158, 106.7862063056824 47.96922411484751, 106.7817147292618 47.96922411484751, 106.7817147292618 47.97590985049158))"
113,113,"POLYGON ((106.7817147292618 47.96922411484751, 106.7862063056824 47.96922411484751, 106.7862063056824 47.96253837920344, 106.7817147292618 47.96253837920344, 106.7817147292618 47.96922411484751))"
114,114,"POLYGON ((106.7817147292618 47.96253837920344, 106.7862063056824 47.96253837920344, 106.7862063056824 47.95585264355937, 106.7817147292618 47.95585264355937, 106.7817147292618 47.96253837920344))"
115,115,"POLYGON ((106.7817147292618 47.95585264355937, 106.7862063056824 47.95585264355937, 106.7862063056824 47.94916690791531, 106.7817147292618 47.94916690791531, 106.7817147292618 47.95585264355937))"
116,116,"POLYGON ((106.7817147292618 47.94916690791531, 106.7862063056824 47.94916690791531, 106.7862063056824 47.94248117227124, 106.7817147292618 47.94248117227124, 106.7817147292618 47.94916690791531))"
117,117,"POLYGON ((106.7817147292618 47.94248117227124, 106.7862063056824 47.94248117227124, 106.7862063056824 47.93579543662717, 106.7817147292618 47.93579543662717, 106.7817147292618 47.94248117227124))"
