id,lat,leisure,lon,name,type
2293354933,47.9253317,,106.9240037,karaoke,pub
2293719530,47.9002516,,106.9003033,Тавин Ус эмийн сан 19-р хороолол салбар,pharmacy
2299563428,47.9196687,,106.8570779,Гэмтэл Согог Судлалын Үндэсний Төв,hospital
2304796392,47.8992412,,106.9159878,,bus_station
2304796410,47.8993387,,106.9148033,,bus_station
2306246842,47.8980497,,106.8994625,27-r цэцэрлэг,kindergarten
2306252780,47.8966686,,106.8959274,Чимэг Оюу эмнэлэг,hospital
2306252781,47.8967603,,106.8959247,Чимэг Оюу эмэгтэйчүүдийн эмнэлэг,hospital
2306252782,47.8982115,,106.8965121,Шүдний эмнэлэг,hospital
2306263913,47.8971523,,106.8944656,Цэцэрлэг - 41,kindergarten
2306263952,47.89753,,106.8954499,,school
2306263971,47.8982583,,106.8929903,Хан-Уул Эрүүл Мэндийн төв,hospital
2306263988,47.8980374,,106.8929237,Khan uul duurgiin Emneleg,hospital
2309452434,48.0494935,,106.8999877,,bus_station
2309552667,47.9257687,,106.9365598,48-р сургууль,school
2309565655,47.9278229,,106.9390612,сансарын колонкын буудал,bus_station
2309565657,47.9264266,,106.9376702,22-р цэцэрлэг,kindergarten
2309602161,47.9215413,,106.9224031,,atm
2309602163,47.9223877,,106.923992,,atm
2313056290,47.9182378,,106.8956893,,place_of_worship
2313082403,47.965763,,106.9175553,6 буудал,bus_station
2313082537,47.948533,,106.912559,17-р сургууль,school
2313082542,47.965447,,106.9188148,35-р сургууль,school
2317130448,47.7687863,,107.2489235,Erdmiin Orgil School,school
2317165239,47.7693182,,107.2531695,Налайх дүүргийн нэгдсэн эмнэлг,hospital
2317165243,47.7693452,,107.2528959,,pharmacy
2317165256,47.7704899,,107.2525821,"""Алтан говь"" Паб ресторан",pub
2317165266,47.7700537,,107.253148,Сүрьеэгийн тасаг,hospital
2317165295,47.7681193,,107.2509647,Налайх Мэргэжлийн сургалт үйлдвэрлэлийн төв,school
2317165297,47.7718744,,107.2539393,Хас банк,bank
2317165299,47.7717807,,107.2528342,Хорооны эмнэлэг,hospital
2317165346,47.7731849,,107.2553206,23-r tsetserleg,kindergarten
2317165353,47.7727667,,107.2540574,Macтер,restaurant
2317165407,47.7717861,,107.2550926,Цэцэрлэг,kindergarten
2317166926,47.773751,,107.2543335,KHAAN Bank,bank
2317166937,47.774445,,107.2543309,Bison Pub,bar
2317211891,47.9142533,,106.9159427,,cafe
2317267389,47.9275325,,106.9206023,Дашчойлин хийд,place_of_worship
2317279316,47.9180385,,106.857962,Raduga Secondary School,school
2317290717,47.9208858,,106.8636724,,kindergarten
2317290733,47.9195163,,106.8639314,Erdmiin Undraa Tsogtsolbor,school
2317290803,47.9197552,,106.8627363,,kindergarten
2318075019,47.7720428,,107.2491118,Сайн номуун хийд,place_of_worship
2318075029,47.7745952,,107.2522018,Golomt School3,school
2318075035,47.7751915,,107.2536891,Golomt School3,school
2318075066,47.7703969,,107.2512093,Every day Pub,pub
2318083992,47.772771,,107.2525209,Hazard,bar
2318445353,47.7751486,,107.2566703,mormon church area,place_of_worship
2320638238,47.9136936,,106.9996586,Хас банк,bank
2320638241,47.9124927,,106.9910487,,atm
2320776220,47.9087532,,106.9367823,Food Retailer,fast_food
2321368122,47.9232876,,106.8821987,,atm
2321368123,47.9233793,,106.8864044,Төрийн банк,bank
2321368138,47.9229299,,106.8714913,Худалдаа хөгжлийн банк,bank
2321375396,47.9223637,,106.8736157,Хаан банкны Баянгол салбар,bank
2321375399,47.9225544,,106.8795748,,atm
2321375401,47.9217831,,106.8659901,RichHill Hotel & Karaoke,bar
2321375413,47.9222667,,106.8691203,Koko Dessert,restaurant
2321375414,47.9224706,,106.8727527,Өргөө,bus_station
2321375421,47.9228678,,106.8869115,Akhui uilchilgeenii buudal,bus_station
2321375434,47.9219665,,106.8659283,Хадгаламж Банк,bank
2321489228,47.9265449,,106.9144563,Chinggis Brewery,pub
2321489230,47.9256025,,106.9140142,,hospital
2321491014,47.9223585,,106.9091851,Зочин,cafe
2321598630,47.9135288,,106.9238161,Tso Tso's Trattoria,restaurant
2321598633,47.9160681,,106.9212274,Ривер соундс клуб,pub
2321610221,47.9195333,,106.9292368,,atm
2321612861,47.904346,,106.9246928,Resto Restaurant,restaurant
2321612869,47.9049141,,106.9339249,Pizza Pazza,fast_food
2321682555,47.9019293,,106.9055552,52-р Сургууль,school
2321682580,47.9002156,,106.9059897,Цэцэрлэг,school
2321682620,47.899642,,106.9027898,75-р Сургууль,school
2321695666,47.9009511,,106.8988792,15-р сургууль,school
2321695675,47.9011129,,106.9005743,72-р цэцэрлэг,kindergarten
2321695693,47.899232,,106.8937079,Говь ресторан,restaurant
2321695706,47.8995485,,106.8941585,28-р цэцэрлэг,kindergarten
2321695720,47.8992644,,106.8945018,Хүүхдийн сувилал,hospital
2321695733,47.9009439,,106.8977473,46-р цэцэрлэг,kindergarten
2321695734,47.8992604,,106.895981,Хас Банк 50,bank
2321710141,47.9125158,,106.9141034,,atm
2321720874,47.9121796,,106.91214,143-р цэцэрлэг,kindergarten
2321720883,47.9235386,,106.9167105,25-р цэцэрлэг,kindergarten
2321753376,47.923506,,106.9112295,Их гүрэн зоогийн газар,restaurant
2321753379,47.9225249,,106.9113193,Худалдаа хөгжлийн банк,atm
2321753380,47.9233769,,106.913803,Сангийн яам,public_building
2321797539,47.9206088,,106.908519,Доргио,bar
2321804347,47.9201539,,106.9079326,Tuul cafe,cafe
2321808641,47.9200951,,106.9067117,Broadway Marquis,restaurant
2321808646,47.9211412,,106.9070577,9-р цэцэрлэг,kindergarten
2321812601,47.9203175,,106.9106279,ХХБ,bank
2321849930,47.9198057,,106.9044506,Хорго ресторан,restaurant
2321857822,47.9175371,,106.9093644,33-р цэцэрлэг,kindergarten
2321857826,47.9164457,,106.911844,Төрийн банк,bank
2321886388,47.9185977,,106.9133984,Найрамдал 5-р цэцэрлэг,kindergarten
2321906464,47.9135966,,106.9016182,2-р төрөх эмнэлэг,hospital
2321950628,47.9152146,,106.8979918,11-р сургууль,school
2321950629,47.9109862,,106.8961411,Зуун Наст Эмнэлэг,hospital
2321950634,47.9088144,,106.9081306,Сакура сургууль,school
2321950637,47.9137081,,106.8932658,The Bull,restaurant
2321958332,47.9130429,,106.904,The Ivy Restaurant,restaurant
2321958348,47.9130217,,106.9037063,Caffe Ti-amo,cafe
2321958359,47.9127765,,106.8972127,Endless Coffee and Breakfast,cafe
2321962181,47.9137021,,106.9054413,Altai Mongolian Grill restaurant 2,restaurant
2321992126,47.9249348,,106.8652177,133-р сургууль,school
2321992169,47.9259727,,106.8674066,141-р цэцэрлэг,kindergarten
2322020743,47.914656,,106.8670378,,pharmacy
2322020770,47.9145697,,106.8687544,Хаан Банk ATM,atm
2322020779,47.9140951,,106.8564055,,atm
2322020796,47.914203,,106.8651173,Хөх Хот Ресторан,restaurant
2322020830,47.9122009,,106.8525446,Жаргалан дунд сургууль,school
2322020831,47.9140088,,106.8627999,Хаан Банк,bank
2322022762,47.9075581,,106.7939342,47-р цэцэрлэг,kindergarten
2322022769,47.9073783,,106.7932797,19-р сургууль,school
2325542625,47.8438618,,106.6764739,121-r surguuli,school
2325790061,47.8698289,,106.8192367,71-р цэцэрлэг,kindergarten
2325790109,47.8658587,,106.8051142,73-р цэцэрлэг,kindergarten
2325790123,47.8671194,,106.8061739,ENAT,cafe
2325790129,47.8733563,,106.8335618,12-р цэцэрлэг,kindergarten
2325790148,47.8655025,,106.8036524,60-р сургууль,school
2325790168,47.8731063,,106.8319873,34-р сургууль,school
2325790269,47.8662852,,106.8026332,Уясах Эмнэлэг,hospital
2325790330,47.8675214,,106.8069408,ХХБ,atm
2325790345,47.869488,,106.8179701,41-р сургууль,school
2326555639,47.866646,,106.8295404,63-р сургууль,school
2330581840,47.9331249,,107.009914,Сэтгэцийн Эрүүл Мэндийн Үндэсний Төв,hospital
2345251593,47.91432,,106.8871095,,bus_station
2355050259,47.808294,,107.0027466,Tsetseegun,place_of_worship
2364131263,47.919155,,106.9119582,Улаанбаатар хотын банк,bank
2364133343,47.9173552,,106.9149063,"УБ хотын банк, Картын төв",bank
2371495161,47.9596989,,106.8997726,102-р цэцэрлэг,kindergarten
2371495181,47.9605197,,106.8987453,72-р сургууль,school
2388467548,47.9110488,,106.8729799,Хермес Төв,marketplace
2389089556,47.9067454,,106.7844974,Монос,pharmacy
2389170353,47.9100824,,106.8316379,Барс 2 худалдааны төв,marketplace
2442482326,47.9119048,,106.9087354,Эмийн сан,pharmacy
2443902349,47.890778,,106.900441,,public_building
2443902421,47.890325,,106.900768,,public_building
2443902526,47.8910322,,106.8968192,,public_building
2443902527,47.890491,,106.901278,,public_building
2443902680,47.890134,,106.901433,,public_building
2443904188,47.892042,,106.900431,,public_building
2443904318,47.892484,,106.899776,,public_building
2445318724,47.901027,,106.868408,,public_building
2487589021,47.9178376,,106.8789256,Нялхасын Клиник Сувилал,hospital
2491911318,47.9290367,,106.9244996,fast food,fast_food
2491911340,47.9287698,,106.9256794,цоглог бөмбөлөг,kindergarten
2492506139,47.9223962,,106.9241118,Голомт банк,bank
2492506153,47.9213097,,106.9189514,Кредит банк,bank
2492506196,47.9123441,,106.9137823,Баянгол ресторан,restaurant
2492506197,47.9112357,,106.9139371,Чингис хаан банк,bank
2492506261,47.9125997,,106.9062477,Paddy,restaurant
2492506290,47.913112,,106.9053472,Shashlik House,restaurant
2492506300,47.9123617,,106.9062534,London 28th,pub
2492506304,47.9136511,,106.9047765,Хас банк,bank
2492506305,47.9135732,,106.9040747,Хаан банк,bank
2492506306,47.9129159,,106.9027788,,cafe
2495869639,47.9238989,,106.9208491,Кино кафе,cafe
2496056376,47.9275154,,106.9172436,кингс кровн,restaurant
2497003454,47.9254405,,106.9363031,48р сургууль /Бага сургууль/,school
2498047525,47.9208086,,106.9237916,хаан банк АТМ,bank
2498048067,47.927096,,106.9125095,Атланта дунд сургууль,school
2499135934,47.9149062,,106.8863108,ТБД андууд-н автобусны буудал;ТБД андууд дэлгүүр,bus_station
2499205967,47.9306849,,106.8869999,,cafe
2503479943,47.9224583,,106.9266451,Hawai,pub
2503479945,47.9216531,,106.9266978,Mongolian language school of forieghner,school
2503479960,47.9219139,,106.9262364,Бамбууш,fast_food
