id,type,name,lat,lon
2531768762,bus_station,100 Айл,47.9298146,106.9286589
2531768763,bus_station,3-р Сургууль,47.9292617,106.9184733
2535994356,atm,GOLOMT BANK,47.909613,106.9500936
2536023208,fuel,Сод Монгол ШТС,47.9263598,106.9007348
2536023209,fuel,Синчи-Ойл ШТС,47.9266023,106.9014519
2536023211,fuel,Синчи-Ойл ШТС,47.9266517,106.9021746
2536023529,fuel,М-Ойл ШТС,47.9277622,106.9028048
2614392648,fuel,Петровис ШТС,47.8983981,106.6654095
2615905889,atm,,47.9332983,106.9064624
2625916388,bank,Хадгаламж банкны салбар,47.9176775,106.889241
2666285309,fuel,Петровис ШТС,47.8961627,106.8859044
2865738312,marketplace,Belkh zakh,47.9946978,106.9670561
2911604003,fuel,амбэр,47.9182529,106.8605956
2925788870,fuel,Петровис ШТС,47.9156406,106.9446872
2948842842,fuel,MT ШТС,47.8566382,106.7693154
3116112594,atm,,47.9119752,106.8344459
3127208527,bus_station,Овоо,47.9627475,106.8169432
3127208528,bus_station,Овоо автобусны буудал,47.9635118,106.8166677
3127208629,fuel,,47.9656024,106.8143908
3127208630,bus_station,,47.9673921,106.8117565
3127208631,bus_station,Зээл,47.9679973,106.8110358
3127208632,bus_station,,47.9702191,106.8073522
3127208633,bus_station,Хороо 24,47.9708632,106.8067586
3127208639,bus_station,Ногоон дэлгүүр.,47.9766122,106.8040475
3127208640,bus_station,Ногоон дэлгүүр,47.9780485,106.8035833
3127208682,bus_station,Хуучин эцэс,47.9805332,106.803305
3148949261,bank,Төрийн банк,47.9091589,106.9514773
3148951653,bank,Хаан банк,47.9090953,106.9514754
3150318180,atm,Төрийн банк атм,47.9085442,106.9383825
3150402554,fuel,Гор газ ШТС,47.9079475,106.9377008
3151834290,bank,Төрийн банк,47.7065568,106.9479543
3159278628,bank,АТМ (Хаан банк ),47.9240771,106.9839531
3279698675,fuel,Монсуль,47.9000795,106.6876703
3279699065,fuel,Юнигаз,47.9020727,106.7288555
3456796927,fuel,МТ шатахуун түгээх станц,47.8443382,106.7296731
3624194907,fuel,Сод монгол шатахуун түгээх станц 1,47.9144883,106.8886114
3669884625,atm,Хаан банк,47.922205,106.915988
3671100525,atm,,47.921694,106.9107
3673023236,atm,,47.926146,106.913897
3673258625,bank,Капитал банк,47.919092,106.911175
3673292727,bank,Хасбанк,47.9195105,106.9151942
3673293729,bank,Голомт кастодиан,47.919717,106.913469
3673377826,atm,,47.921902,106.910618
3673401426,bank,Хас банк,47.920455,106.905933
3675841425,bank,Хаан банк,47.706078,106.951747
3679692825,atm,Хаан банк,47.92271,106.921923
3781591988,fuel,,47.7847813,106.710565
3804478912,bus_station,Офицеруудын ордон,47.9161009,106.9708828
3804478915,bank,Капитал банк,47.9169834,106.9646533
